"","cov.names","0","1","Overall"
"","","( n= 135 )","( n= 227 )","( n= 362 )"
"MULT_PREG_E1_C1, N(%)","MULT_PREG_E1_C1, N(%)","","",""
"0","0","120(88.9)","204(89.9)","324(89.5)"
"1","1","15(11.1)","23(10.1)","38(10.5)"
"Missing","Missing","0(0)","0(0)","0(0)"
"AgeatEDD, Median (IQR)","AgeatEDD, Median (IQR)","32.0 (28.0, 37.0)","32.0 (28.0, 36.0)","32 (28, 36)"
"Missing","Missing","-","-","-"
"BMI, Median (IQR)","BMI, Median (IQR)","26.5 (23.0, 31.8)","26.0 (23.0, 31.0)","26 (23, 31)"
"Missing","Missing","9","10","19"
"AnyCerclage, N(%)","AnyCerclage, N(%)","","",""
"0","0","123(91.1)","210(92.5)","333(92)"
"1","1","12(8.9)","17(7.5)","29(8)"
"Missing","Missing","0(0)","0(0)","0(0)"
"APHpriortoEPPROM, N(%)","APHpriortoEPPROM, N(%)","","",""
"0","0","106(78.5)","185(81.5)","291(80.4)"
"1","1","29(21.5)","42(18.5)","71(19.6)"
"Missing","Missing","0(0)","0(0)","0(0)"
"weight, Median (IQR)","weight, Median (IQR)","71.0 (62.0, 84.2)","70.0 (60.0, 85.0)","70 (61, 85)"
"Missing","Missing","7","10","17"
"eth, N(%)","eth, N(%)","","",""
"1","1","68(50.4)","125(55.1)","193(53.3)"
"10","10","3(2.2)","3(1.3)","6(1.7)"
"11","11","1(0.7)","7(3.1)","8(2.2)"
"12","12","8(5.9)","6(2.6)","14(3.9)"
"13","13","12(8.9)","8(3.5)","20(5.5)"
"14","14","2(1.5)","0(0)","2(0.6)"
"16","16","2(1.5)","3(1.3)","5(1.4)"
"2","2","1(0.7)","5(2.2)","6(1.7)"
"3","3","23(17)","24(10.6)","47(13)"
"4","4","0(0)","4(1.8)","4(1.1)"
"6","6","0(0)","2(0.9)","2(0.6)"
"7","7","2(1.5)","1(0.4)","3(0.8)"
"8","8","4(3)","16(7)","20(5.5)"
"9","9","7(5.2)","19(8.4)","26(7.2)"
"99","99","1(0.7)","1(0.4)","2(0.6)"
"Missing","Missing","1(0.7)","3(1.3)","4(1.1)"
"height, Median (IQR)","height, Median (IQR)","163.5 (160.0, 167.8)","164.0 (159.0, 168.0)","164 (159, 168)"
"Missing","Missing","9","7","16"
"smoke, N(%)","smoke, N(%)","","",""
"1","1","88(65.2)","138(60.8)","226(62.4)"
"2","2","23(17)","57(25.1)","80(22.1)"
"3","3","15(11.1)","21(9.3)","36(9.9)"
"4","4","7(5.2)","9(4)","16(4.4)"
"99","99","1(0.7)","1(0.4)","2(0.6)"
"Missing","Missing","1(0.7)","1(0.4)","2(0.6)"
